zip,city,county,pop
61910,Arcola,Douglas,4477
61911,Arthur,Douglas,5330
61912,Ashmore,Coles,1176
61913,Atwood,Douglas,1410
61914,Bethany,Moultrie,1817
61917,Brocton,Edgar,632
61919,Camargo,Douglas,906
61920,Charleston,Coles,23839
61924,Chrisman,Edgar,2299
61925,Dalton City,Moultrie,776
61928,Gays,Moultrie,596
61929,Hammond,Piatt,679
61930,Hindsboro,Douglas,859
61931,Humboldt,Coles,1190
61932,Hume,Edgar,442
61933,Kansas,Edgar,872
61936,La Place,Piatt,297
61937,Lovington,Moultrie,1967
61938,Mattoon,Coles,21727
61940,Metcalf,Edgar,253
61941,Murdock,Douglas,87
61942,Newman,Douglas,898
61943,Oakland,Coles,1630
61944,Paris,Edgar,12311
61949,Redmon,Edgar,129
61951,Sullivan,Moultrie,7817
61953,Tuscola,Douglas,6019
61955,Vermilion,Edgar,189
61956,Villa Grove,Douglas,2749
61957,Windsor,Shelby,1789
62001,Alhambra,Madison,1669
62002,Alton,Madison,31087
62006,Batchtown,Calhoun,442
62009,Benld,Macoupin,1720
62010,Bethalto,Madison,11409
62011,Bingham,Fayette,224
62012,Brighton,Jersey,6510
62013,Brussels,Calhoun,619
62014,Bunker Hill,Macoupin,4063
62015,Butler,Montgomery,690
62016,Carrollton,Greene,3572
62017,Coffeen,Montgomery,927
62018,Cottage Hills,Madison,3017
62019,Donnellson,Bond,298
62021,Dorsey,Madison,1207
62022,Dow,Jersey,1103
62023,Eagarville,Macoupin,124
62024,East Alton,Madison,9799
62025,Edwardsville,Madison,34960
62027,Eldred,Greene,589
62028,Elsah,Jersey,1119
62030,Fidelity,Jersey,203
62031,Fieldon,Jersey,800
62032,Fillmore,Montgomery,749
62033,Gillespie,Macoupin,4539
62034,Glen Carbon,Madison,13487
62035,Godfrey,Madison,16080
62036,Golden Eagle,Calhoun,706
62037,Grafton,Jersey,1990
62040,Granite City,Madison,42149
62044,Greenfield,Greene,2262
62045,Hamburg,Calhoun,533
62046,Hamel,Madison,709
62047,Hardin,Calhoun,1691
62048,Hartford,Madison,1965
